,concurrent
2938,887
2939,10
2940,15
2941,0
2942,18
2943,0
2944,20
2945,63
2946,6
2947,18
2948,80
2949,5
2950,9
2951,49
2952,4
2953,187
2954,311
2955,10
2956,2
2957,4
2958,16
2959,23
2960,0
2961,221
2962,15
2963,7
2964,3
2965,2
2966,44
2967,5
2968,5
2969,2
2970,68
2971,3
2972,6
2973,2
2974,11
2975,98
2976,37
2977,1
2978,1
2979,2
2980,3
2981,0
2982,2
2983,1
2984,0
2985,2
2986,1
2987,0
2988,2
2989,1
2990,2
2991,18
2992,1
2993,8
2994,21
2995,5
2996,14
2997,11
2998,23
2999,0
3000,45
3001,1
3002,0
3003,48
3004,39
3005,20
3006,18
3007,249
3008,7
3009,9
3010,1
3011,27
3012,5
3013,12
3014,7
3015,15
3016,1
3017,21
3018,0
3019,199
3020,130
3021,6
3022,2
3023,0
3024,2
3025,17
3026,10
3027,24
3028,1
3029,5
3030,33
3031,0
3032,3
3033,12
3034,1
3035,26
3036,8
3037,20
3038,47
3039,16
3040,5
3041,31
3042,9
3043,2
3044,1
3045,5
3046,2
3047,1
3048,7
3049,23
3050,10
3051,2
3052,1
3053,4
3054,2
3055,10
3056,1
3057,3
3058,0
3059,1
3060,10
3061,7
3062,9
3063,3
3064,103
3065,2
3066,12
3067,32
3068,1
3069,1
3070,169
3071,0
3072,45
3073,49
3074,2
3075,12
3076,22
3077,1
3078,56
3079,2
3080,186
3081,1641
3082,6
3083,14
3084,4
3085,226
3086,9
3087,86
3088,0
3089,3
3090,10
3091,5
3092,0
3093,5
3094,12
3095,45
3096,2
3097,1
3098,30
3099,10
3100,2
3101,0
3102,6
3103,49
3104,1
3105,4
3106,0
3107,0
3108,3
3109,3
3110,37
3111,14
3112,4
3113,3
3114,1
3115,0
3116,6
3117,7
3118,4
3119,59
3120,3
3121,0
3122,3
3123,13
3124,21
3125,5
3126,23
3127,54
3128,14
3129,136
3130,27
3131,39
3132,7
3133,33
3134,0
3135,10
3136,4
3137,7
3138,0
3139,2
3140,0
3141,3
3142,1
3143,23
3144,47
3145,9
3146,121
3147,25
3148,31
3149,78
3150,6
3151,12
3152,40
3153,225
3154,21
3155,8
3156,0
3157,50
3158,9
3159,8
3160,4
3161,9
3162,0
3163,1
3164,1
3165,23
3166,5
3167,10
3168,2
3169,37
3170,0
3171,5
3172,27
3173,53
3174,56
3175,1
3176,5
3177,4
3178,4
3179,9
3180,0
3181,0
3182,0
3183,4
3184,12
3185,12
3186,1
3187,3
3188,141
3189,376
3190,1
3191,3
3192,25
3193,0
3194,3
3195,34
3196,0
3197,3
3198,3
3199,3
3200,2
3201,0
3202,20
3203,50
3204,4
3205,0
3206,43
3207,3
3208,1
3209,34
3210,20
3211,0
3212,5
3213,6
3214,1
3215,7
3216,3
3217,3
3218,3
3219,10
3220,0
3221,3
3222,2
3223,3
3224,0
3225,139
3226,205
3227,15
3228,6
3229,87
3230,6
3231,1
3232,0
3233,0
3234,0
3235,8
3236,2
3237,17
3238,3
3239,0
3240,1
3241,0
3242,1
3243,25
3244,1
3245,0
3246,100
3247,17
3248,26
3249,6
3250,4
3251,8
3252,0
3253,1
3254,3
3255,5
3256,7
3257,75
3258,7
3259,3
3260,1
3261,23
3262,6
3263,32
3264,0
3265,60
3266,0
3267,0
3268,16
3269,11
3270,3
3271,5
3272,3
3273,6
3274,36
3275,5
3276,2
3277,48
3278,20
3279,22
3280,6
3281,0
3282,130
3283,21
3284,101
3285,5
3286,12
3287,15
3288,3
3289,3
3290,1
3291,0
3292,3
3293,11
3294,48
3295,38
3296,0
3297,2
3298,2
3299,0
3300,11
3301,4
3302,3
3303,1
3304,7
3305,0
3306,14
3307,2
3308,4
3309,6
3310,4
3311,17
3312,2
3313,1
3314,1839
3315,0
3316,6
3317,5
3318,2
3319,5
3320,12
3321,67
3322,3
3323,0
3324,1
3325,65
3326,1
3327,30
3328,2
3329,4
3330,4
3331,33
3332,0
3333,0
3334,6
3335,3
3336,0
3337,3
3338,52
3339,18
3340,0
3341,0
3342,0
3343,174
3344,5
3345,3
3346,2
3347,163
3348,3
3349,1
3350,2
3351,0
3352,14
3353,47
3354,0
3355,30
3356,2
3357,4
3358,0
3359,2
3360,8
3361,6
3362,4
3363,18
3364,1
3365,27
3366,2
3367,3
3368,47
3369,0
3370,7
3371,18
3372,0
3373,28
3374,0
3375,4
3376,74
3377,1
3378,0
3379,0
3380,43
3381,2
3382,1
3383,1
3384,2
3385,0
3386,8
3387,27
3388,0
3389,2
3390,67
3391,0
3392,5
3393,0
3394,6
3395,5
3396,0
3397,5
3398,0
3399,1
3400,20
3401,4
3402,3
3403,3
3404,0
3405,28
3406,24
3407,3
3408,0
3409,0
3410,1
3411,0
3412,0
3413,5
3414,5
3415,0
3416,23
3417,1
3418,0
3419,0
3420,132
3421,16
3422,0
3423,54
3424,0
3425,8
3426,1
3427,1
3428,0
3429,2
3430,4
3431,7
3432,1
3433,1
3434,0
3435,0
3436,8
3437,0
3438,7
3439,1
3440,14
3441,1
3442,1
3443,0
3444,5
3445,9
3446,2
3447,0
3448,9
3449,1
3450,3
3451,11
3452,0
3453,1
3454,1
3455,5
3456,0
3457,1
3458,1
3459,2
3460,5
3461,15
3462,39
3463,6
3464,3
3465,0
3466,3
3467,5
3468,101
3469,0
3470,0
3471,467
3472,0
3473,20
3474,1
3475,0
3476,6
3477,0
3478,20
3479,35
3480,2
3481,55
3482,20
3483,4
3484,2
3485,1
3486,3
3487,0
3488,3
3489,0
3490,1
3491,0
3492,10
3493,0
3494,0
3495,5
3496,2
3497,0
3498,2
3499,0
3500,1
3501,2
3502,0
3503,11
3504,9
3505,0
3506,1
3507,20
3508,1
3509,1
3510,0
3511,0
3512,9
3513,21
3514,4
3515,0
3516,29
3517,22
3518,0
3519,0
3520,2
3521,57
3522,2
3523,5
3524,23
3525,0
3526,0
3527,0
3528,0
3529,3
3530,0
3531,0
3532,16
3533,24
3534,3
3535,0
3536,0
3537,4
3538,18
3539,3
3540,0
3541,299
3542,1181
3543,55
3544,5637
3545,1357
3546,58
3547,176
3548,1
3549,21
3550,2
3551,3
3552,32
3553,56
3554,1131
3555,3
3556,37
3557,1
3558,47
3559,1
3560,9
3561,2
3562,12
3563,3
3564,18733
3565,2
3566,7
3567,0
3568,0
3569,2
3570,0
3571,0
3572,0
3573,1
3574,0
3575,0
3576,2
3577,6
3578,9
3579,1
3580,0
3581,0
3582,0
3583,1
3584,54
3585,3
3586,1
3587,0
3588,0
3589,1
3590,1
3591,3
3592,19
3593,0
3594,3
3595,0
3596,0
3597,1
3598,0
3599,0
3600,0
3601,0
3602,2
3603,223
3604,18
3605,25
3606,0
3607,1
3608,1
3609,4
3610,0
3611,1
3612,17
3613,9
3614,71
3615,3
3616,38
3617,8
3618,23
3619,0
3620,4
3621,1
3622,2
3623,1
3624,3
3625,32
3626,1
3627,19
3628,0
3629,30
3630,4
3631,7
3632,5
3633,0
3634,126
3635,0
3636,1
3637,422
3638,763
3639,14
3640,0
3641,62
3642,0
3643,3
3644,4
3645,17
3646,1
3647,0
3648,4
3649,0
3650,53
3651,3
3652,4
3653,71
3654,0
3655,2
3656,60
3657,6
3658,4
3659,7
3660,48
3661,2
3662,0
3663,3
3664,1
3665,7
3666,374
3667,0
3668,26
3669,6
3670,1
3671,5
3672,8
3673,3
3674,3
3675,7
3676,281
3677,5
3678,21696
3679,93
3680,5
3681,5
3682,1
3683,9
3684,0
3685,144
3686,0
3687,0
3688,0
3689,114
3690,123
3691,48
3692,3
3693,6
3694,1
3695,1
3696,53
3697,6
3698,1
3699,25
3700,1
3701,0
3702,15
3703,7
3704,0
3705,12
3706,67
3707,7
3708,2
3709,1
3710,1
3711,3
3712,1
3713,0
3714,0
3715,22
3716,4
3717,4
3718,5
3719,553
3720,1
3721,3
3722,14
3723,0
3724,3
3725,0
3726,0
3727,20
3728,0
3729,9
3730,2
3731,0
3732,0
3733,35
3734,0
3735,9
3736,0
3737,0
3738,0
3739,0
3740,16
3741,0
3742,1
3743,3
3744,0
3745,0
3746,1
3747,0
3748,4
3749,0
3750,7
3751,0
3752,28
3753,0
3754,9
3755,14
3756,2
3757,2
3758,0
3759,42
3760,2
3761,6
3762,0
3763,0
3764,0
3765,0
3766,0
3767,3
3768,0
3769,0
3770,8
3771,3
3772,40
3773,33
3774,7
3775,0
3776,375
3777,0
3778,0
3779,0
3780,0
3781,0
3782,0
3783,10
3784,0
3785,28
3786,34
3787,0
3788,3
3789,1
3790,85
3791,4
3792,6
3793,0
3794,0
3795,3
3796,0
3797,0
3798,0
3799,0
3800,0
3801,0
